id;id_exhibition;id_location
3383;1156;30
4933;1157;324
4272;1158;269
2010;1159;324
4972;1160;324
4387;1161;23
3322;1162;46
4399;1163;23
4395;1164;23
2028;1165;324
4408;1166;23
2204;1167;324
3271;1168;321
4410;1169;23
4414;1171;23
2085;1172;324
4407;1173;23
4419;1174;23
4426;1175;23
4421;1176;23
4420;1177;23
4417;1178;23
4439;1179;23
5261;1180;23
5284;1181;23
5286;1182;23
5288;1183;23
2100;1184;324
5639;1185;327
6014;1186;23
5433;1187;23
5014;1188;23
5017;1189;23
5020;1190;23
5019;1191;23
5021;1192;23
5022;1193;23
5023;1194;23
5024;1195;23
5025;1196;23
5027;1197;23
5029;1198;23
5030;1199;23
5031;1200;23
5032;1201;23
5043;1202;23
5035;1203;23
5036;1204;23
5037;1205;23
5034;1206;23
5038;1207;23
5039;1208;23
5041;1209;23
5044;1210;23
5056;1211;23
5055;1212;23
5054;1213;23
5053;1214;23
5047;1215;23
5061;1216;23
5048;1217;23
5049;1218;23
5051;1219;23
5050;1220;23
3391;1221;334
2367;1222;330
5293;1223;286
2375;1224;330
4465;1226;23
4462;1227;23
2369;1228;330
4614;1229;278
2295;1230;278
3118;1231;334
4551;1232;330
5992;1233;176
5296;1234;286
4550;1235;330
2379;1236;337
2387;1237;337
3886;1238;272
3469;1239;28
3231;1240;28
3827;1241;321
6091;1242;18
2775;1243;330
3877;1244;343
3876;1244;344
4543;1245;324
2749;1246;330
4949;1247;341
2600;1248;342
3280;1249;39
6320;1250;345
3282;1251;39
4923;1252;342
4924;1252;347
3630;1253;321
2739;1254;342
2738;1254;347
3396;1256;39
2676;1257;328
2743;1258;269
2744;1258;330
3803;1259;17
4613;1260;286
4494;1262;286
4493;1262;352
4713;1263;286
4754;1264;286
5131;1265;286
3245;1266;30
3244;1266;39
7029;1267;19
4358;1268;19
2911;1269;39
4728;1270;286
3833;1271;30
3832;1271;39
4991;1272;286
5140;1273;286
7017;1274;5
7018;1275;5
7025;1276;19
7024;1277;5
7028;1278;19
7026;1279;5
5301;1280;286
5146;1281;286
5232;1282;286
3981;1283;64
3979;1284;64
3995;1286;64
4000;1287;64
4002;1288;64
4004;1289;64
3983;1290;64
3996;1291;108
4515;1292;89
3467;1293;176
6939;1294;89
4057;1295;108
4055;1296;108
4049;1297;64
4050;1298;64
4052;1299;64
4566;1301;341
3807;1303;278
5007;1304;278
3947;1305;269
4126;1307;278
5988;1308;176
5986;1313;176
5989;1314;176
5990;1316;176
4586;1322;64
5245;1327;278
5124;1328;108
5086;1329;278
4549;1330;278
4173;1331;286
6223;1332;269
5012;1333;269
6224;1334;269
6225;1335;269
4237;1336;269
4238;1336;359
4548;1337;117
6507;1338;116
5018;1340;23
5435;1341;23
4587;1342;365
4538;1343;365
5042;1344;140
5045;1345;140
6294;1346;140
6295;1347;140
5251;1351;140
5252;1351;371
5451;1352;140
5452;1352;371
5450;1352;373
5460;1353;140
5461;1353;371
5459;1353;374
5530;1354;140
5529;1354;290
5531;1354;371
5060;1355;140
5059;1355;201
5058;1356;102
5057;1356;140
5052;1358;140
5113;1359;140
6514;1360;116
6515;1360;378
6009;1361;117
5102;1362;73
5092;1363;64
5119;1364;108
5133;1365;64
5135;1366;64
5136;1367;64
5167;1368;64
5157;1370;64
5172;1371;64
5175;1372;64
5315;1375;381
5316;1375;382
6958;1376;107
5479;1377;18
5504;1378;108
5503;1379;108
6921;1380;26
6924;1381;417
6023;1386;81
5583;1387;108
6197;1389;402
6205;1391;71
6206;1391;85
6189;1392;397
6584;1393;399
6583;1394;400
6581;1395;37
6582;1395;85
6580;1396;85
6979;1397;181
6861;1398;85
6862;1398;401
6866;1399;85
6963;1400;293
6585;1402;361
6201;1403;85
6202;1403;433
6586;1404;85
6587;1404;403
6098;1405;265
6099;1407;27
6103;1409;27
6101;1410;286
5907;1411;407
5909;1412;270
5908;1412;409
5910;1413;270
5911;1413;411
5912;1414;270
5917;1415;270
5918;1415;413
5913;1416;270
5914;1416;414
5920;1417;204
5919;1417;270
5905;1418;270
5906;1418;415
7001;1419;270
7002;1419;417
5926;1420;71
5925;1420;270
5934;1421;36
5933;1421;270
5938;1422;116
5937;1422;270
6829;1428;192
6825;1429;73
6879;1430;286
6955;1432;192
6229;1433;286
6403;1451;73
6405;1452;73
6674;1453;124
6991;1454;73
6408;1456;73
6274;1457;73
6351;1458;73
6404;1459;73
6349;1461;264
6394;1462;53
6431;1464;437
6506;1465;116
6841;1466;73
6571;1467;341
6854;1477;285
6744;1478;26
6850;1483;116
6882;1485;174
6883;1485;442
6906;1486;443
6908;1486;444
6907;1486;445
6928;1487;440
6925;1488;440
6999;1489;131
7000;1489;280
