id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
151;188;2;Gegen Abend;Gouache on black paper laid down on cardboard;31.7 x 47 cm;1905;\N;47
152;190;2;Die Rosen;Gouache on brown cardboard;58 x 78.5 cm;1905;\N;47
153;196;23;Morgen;Tempera;27.5 x 41 cm;1905;\N;\N
154;212;23;Provinz;Tempera;65 x 65 cm;1906;\N;47
155;213;23;Venedig;Tempera;65 x 65 cm;1906;\N;47
156;215;2;Studie für "Reitendes Paar";Gouache on grey-brown paper;17.5 x 24.5 cm;1906;\N;47
157;216;2;Begräbnis;Gouache on black paper laid down on cardboard;29 x 48.8 cm;1907;\N;47
158;217;2;Der Bär;Gouache on black cardboard;29.5 x 49.2 cm;1907;\N;47
159;218;2;Szene;Gouache on black paper laid down on cardboard;29.8 x 49.7 cm;1907;\N;47
160;219;23;Das Bunte Leben;Tempera and gouache (?) on canvas;130 x 162.5 cm;1907;\N;47
161;221;23;Morgenstunde;Tempera (?) and gouache on canvas;96.8 x 130.3 cm;1907;\N;47
162;223;23;Panik;Tempera;97 x 140 cm;1907;\N;47
163;224;23;Sturmglocke;Tempera;90 x 108 cm;1907;\N;47
164;225;2;Die Nacht;Gouache and white crayon on black cardboard;29.8 x 49.8 cm;1907;\N;47
165;226;23;Mittag;Tempera;60 x 60 cm;1907;\N;45
166;233;20;Farbige Zeichnung No.4 (mit Birke);Tempera;53 x 53 cm;\N;\N;45
167;234;23;Gelbe Wolke auf Weiss;Tempera;unknown;\N;\N;45
168;260;1;Akt;Watercolour on thin cardboard;33.1 x 33 cm;\N;\N;48
169;291;1;Regenlandschaft;Watercolour, Indian ink and pencil on paper;25 x 31.8 cm;\N;\N;48
170;292;1;Entwurf zu "Improvisation 23 (Troika I)";Watercolour and ink on paper;33 x 33 cm;\N;\N;49
171;295;1;Boot;Watercolour, gouache and Indian ink on parchment mounted on cardboard;26.1 x 26.6 cm;\N;\N;49
172;299;1;Aquarell No.3 (Liebesgarten);Watercolour, Indian ink and pencil on paper;24.8 x 31.6 cm;\N;\N;48
173;300;1;Ohne Titel;Watercolour, Indian ink and pencil on paper;28.3 x 25.8 cm;\N;\N;\N
174;301;1;Aquarell No.2;Watercolour on paper;31 x 47.5 cm;\N;\N;48
175;302;1;Aquarell No.6;Watercolour on paper;27.4 x 37.8 cm;\N;\N;49
176;303;1;Aquarell No.8 "Jüngster Tag";Watercolour, Indian ink and pencil on paper;28.7 x 42.8 cm;\N;\N;48
177;304;1;Aquarell No.10;Watercolour;unknown;\N;\N;\N
178;305;1;Aquarell No.12 "Mit Bogen";Watercolour, Indian ink and pencil on tan paper mounted on cardboard;33.9 x 33.6 cm;\N;\N;\N
